trans_id,student_id,amount,category,pay_method,time,location
2673,20230001,34.1,生活服务,支付宝,2025/10/29 4:12,图书馆
6480,20230001,67.59,生活服务,微信,2025/10/30 11:25,体育馆
4161,20230001,39.36,交通,校园卡,2025/7/28 22:05,校园超市
6837,20230001,32.97,交通,校园卡,2025/9/15 15:07,打印店
7719,20230001,54.31,生活服务,微信,2025/8/20 9:43,校门口
6753,20230001,19.73,交通,支付宝,2025/9/9 21:59,二食堂
8859,20230001,47.74,生活服务,支付宝,2025/6/20 14:03,图书馆
9050,20230001,71.15,交通,微信,2025/10/29 3:36,二食堂
3435,20230001,58.28,超市,微信,2025/10/6 12:53,打印店
8524,20230001,30.93,交通,微信,2025/10/7 4:59,一食堂
9506,20230001,5.74,生活服务,微信,2025/8/21 19:38,校园超市
119,20230001,73.67,超市,校园卡,2025/9/14 16:00,图书馆
475,20230001,69.42,生活服务,支付宝,2025/10/4 6:19,一食堂
630,20230001,42.82,学习用品,校园卡,2025/7/1 15:35,体育馆
5557,20230001,38.87,娱乐,校园卡,2025/8/2 8:49,校园超市
1570,20230001,76.5,娱乐,支付宝,2025/6/4 6:18,校园超市
6962,20230001,21.36,餐饮,支付宝,2025/7/10 20:47,图书馆
3772,20230001,42.05,超市,校园卡,2025/7/4 4:38,体育馆
2730,20230001,43.57,生活服务,支付宝,2025/11/4 9:08,二食堂
1751,20230001,61.69,交通,微信,2025/9/30 21:32,校园超市
8989,20230001,37.9,生活服务,微信,2025/9/19 13:07,图书馆
9497,20230001,39.56,学习用品,支付宝,2025/9/20 11:07,校门口
6725,20230001,6.94,超市,微信,2025/9/2 8:03,校园超市
6261,20230001,34.87,餐饮,校园卡,2025/9/22 14:30,图书馆
9366,20230001,71.65,餐饮,支付宝,2025/10/24 4:44,图书馆
9724,20230001,63.39,生活服务,支付宝,2025/8/1 16:31,图书馆
692,20230001,5.68,娱乐,支付宝,2025/6/18 18:43,图书馆
6170,20230001,41.48,学习用品,校园卡,2025/11/9 10:43,校门口
9138,20230001,41.95,学习用品,微信,2025/9/13 15:43,一食堂
5082,20230001,38.15,餐饮,支付宝,2025/10/4 0:32,一食堂
5335,20230001,58.66,餐饮,支付宝,2025/8/18 6:57,一食堂
9660,20230001,63.14,学习用品,支付宝,2025/8/25 1:17,二食堂
2160,20230001,59.5,生活服务,支付宝,2025/10/11 13:46,校园超市
9095,20230001,46.68,交通,校园卡,2025/8/23 23:11,校园超市
235,20230001,37.88,学习用品,微信,2025/8/15 12:23,图书馆
8651,20230001,24.12,超市,支付宝,2025/7/11 17:16,校门口
7299,20230001,7.87,超市,支付宝,2025/6/12 19:07,体育馆
4923,20230001,55.75,生活服务,支付宝,2025/5/22 6:11,校门口
1603,20230001,33.03,学习用品,微信,2025/10/5 6:18,图书馆
9980,20230001,20.05,交通,支付宝,2025/7/30 14:11,打印店
9166,20230001,40.77,生活服务,校园卡,2025/6/28 13:59,一食堂
5860,20230001,31.44,交通,微信,2025/8/2 14:09,一食堂
8372,20230001,29.62,生活服务,微信,2025/6/5 2:40,校园超市
8672,20230001,69.54,生活服务,支付宝,2025/6/9 10:19,图书馆
1807,20230001,11.43,娱乐,支付宝,2025/11/6 14:36,校门口
2501,20230001,10.12,娱乐,微信,2025/6/11 23:58,一食堂
8299,20230001,29.08,学习用品,微信,2025/5/25 0:23,打印店
100,20230001,15.61,交通,支付宝,2025/10/29 5:29,一食堂
7884,20230001,78.04,超市,支付宝,2025/6/25 2:49,一食堂
2395,20230001,36.88,生活服务,微信,2025/9/17 2:21,一食堂
5124,20230001,12.83,学习用品,校园卡,2025/7/15 15:15,校门口
5278,20230001,40.35,娱乐,微信,2025/7/27 12:57,体育馆
6460,20230001,70.75,学习用品,微信,2025/8/26 10:36,图书馆
1553,20230001,73.22,生活服务,校园卡,2025/8/2 8:18,一食堂
7181,20230001,35.95,学习用品,微信,2025/7/28 15:35,一食堂
3225,20230001,19.56,餐饮,微信,2025/7/5 21:16,校园超市
1267,20230001,79.03,餐饮,校园卡,2025/5/22 5:55,打印店
2928,20230001,10.18,超市,支付宝,2025/10/18 21:45,一食堂
6304,20230001,78.4,学习用品,微信,2025/8/19 5:13,一食堂
8686,20230001,8.56,生活服务,校园卡,2025/6/29 23:41,图书馆
7372,20230001,15.51,生活服务,校园卡,2025/10/12 0:47,校园超市
4868,20230001,39.8,交通,微信,2025/10/16 20:22,图书馆
220,20230001,9.6,娱乐,微信,2025/11/16 23:57,校门口
9605,20230001,53.86,餐饮,微信,2025/9/2 8:27,一食堂
9120,20230001,24.36,学习用品,微信,2025/6/22 6:28,一食堂
5347,20230001,16,餐饮,微信,2025/5/26 12:01,二食堂
5395,20230001,43.58,生活服务,支付宝,2025/7/15 17:09,二食堂
9310,20230001,35.88,超市,支付宝,2025/8/15 20:49,校园超市
4242,20230001,34.71,学习用品,校园卡,2025/8/26 23:51,二食堂
507,20230001,36.82,学习用品,校园卡,2025/6/16 14:00,校园超市
8637,20230001,28.14,娱乐,微信,2025/6/16 22:53,打印店
7247,20230001,52.9,超市,校园卡,2025/8/24 6:04,体育馆
5875,20230001,48.01,餐饮,支付宝,2025/8/17 13:01,校园超市
4065,20230001,61.89,生活服务,支付宝,2025/9/6 13:37,二食堂
4075,20230001,26.54,学习用品,支付宝,2025/8/12 8:42,校门口
6364,20230001,11.44,娱乐,校园卡,2025/7/18 15:15,图书馆
7481,20230001,10.78,交通,支付宝,2025/8/3 7:50,体育馆
7600,20230001,60.09,交通,微信,2025/8/27 15:51,体育馆
2271,20230001,69.46,生活服务,支付宝,2025/8/16 16:03,二食堂
2234,20230001,13.09,交通,校园卡,2025/7/3 3:51,体育馆
1051,20230001,77.95,超市,校园卡,2025/8/26 13:13,一食堂
3601,20230001,64.43,餐饮,微信,2025/7/22 19:25,图书馆
2767,20230001,75.05,交通,支付宝,2025/7/22 22:13,打印店
1964,20230001,66.64,超市,支付宝,2025/8/15 16:12,图书馆
8694,20230001,36.95,学习用品,微信,2025/9/1 12:27,校园超市
6332,20230001,48.21,生活服务,支付宝,2025/8/2 8:07,二食堂
8033,20230001,12.43,餐饮,支付宝,2025/8/25 19:55,校园超市
6939,20230001,35.08,餐饮,支付宝,2025/9/10 14:01,打印店
9172,20230001,40.5,超市,支付宝,2025/9/23 23:24,体育馆
5747,20230001,46.1,娱乐,支付宝,2025/6/15 8:38,二食堂
3742,20230001,31.62,娱乐,校园卡,2025/6/24 8:43,图书馆
1555,20230001,28.42,交通,微信,2025/8/23 14:59,体育馆
369,20230001,30.92,娱乐,支付宝,2025/6/15 23:51,校园超市
8939,20230001,79.71,餐饮,校园卡,2025/10/21 4:18,校园超市
9205,20230001,5.7,生活服务,校园卡,2025/9/16 2:49,二食堂
151,20230001,67.11,餐饮,支付宝,2025/9/1 9:20,校门口
1364,20230001,52.72,餐饮,校园卡,2025/7/1 2:27,体育馆
6009,20230001,31.35,学习用品,支付宝,2025/9/2 21:24,校门口
785,20230001,46.65,娱乐,校园卡,2025/11/12 21:47,打印店
3980,20230001,33.02,超市,微信,2025/5/29 2:09,校园超市
8157,20230001,60.74,生活服务,微信,2025/8/17 8:17,图书馆
5180,20230001,45.69,交通,支付宝,2025/9/4 3:03,二食堂
7412,20230001,32.98,交通,支付宝,2025/7/6 2:40,体育馆
8757,20230001,75.65,生活服务,微信,2025/10/21 13:43,二食堂
1004,20230001,7.63,超市,微信,2025/6/14 17:04,二食堂
7561,20230001,19.5,交通,支付宝,2025/9/5 1:51,校门口
4151,20230001,39.16,学习用品,校园卡,2025/5/22 6:21,校门口
2284,20230001,19.92,餐饮,支付宝,2025/9/19 10:39,校门口
1436,20230001,20.46,娱乐,校园卡,2025/6/21 9:27,打印店
5738,20230001,57,娱乐,校园卡,2025/10/24 4:22,一食堂
2943,20230001,3.73,超市,微信,2025/10/5 20:28,图书馆
6539,20230001,36.9,生活服务,校园卡,2025/10/20 1:52,打印店
615,20230002,34.69,超市,微信,2025/7/26 8:28,打印店
1347,20230002,71.75,娱乐,微信,2025/8/19 7:28,打印店
754,20230002,62.88,超市,微信,2025/7/18 20:52,体育馆
4725,20230002,54.76,学习用品,微信,2025/6/18 3:03,体育馆
7086,20230002,76.19,娱乐,微信,2025/6/18 8:14,打印店
7183,20230002,4.9,交通,微信,2025/8/29 13:42,打印店
610,20230002,8.42,交通,微信,2025/11/4 18:40,图书馆
4337,20230002,13.35,生活服务,支付宝,2025/9/14 7:39,校园超市
4894,20230002,24.93,生活服务,支付宝,2025/9/16 9:43,体育馆
6260,20230002,66.47,交通,微信,2025/5/27 8:54,校园超市
9308,20230002,11.48,娱乐,微信,2025/6/1 20:10,体育馆
4406,20230002,39.8,交通,校园卡,2025/11/12 2:54,二食堂
1663,20230002,2.74,生活服务,支付宝,2025/7/11 1:24,图书馆
7719,20230002,56.76,餐饮,校园卡,2025/9/25 1:12,图书馆
2297,20230002,55.38,生活服务,支付宝,2025/6/10 1:39,校园超市
1592,20230002,28.62,学习用品,支付宝,2025/11/10 2:42,校园超市
9555,20230002,56.68,交通,微信,2025/8/28 16:19,校门口
7434,20230002,26.69,超市,微信,2025/7/21 6:07,一食堂
5016,20230002,65.7,餐饮,微信,2025/9/16 3:02,二食堂
5951,20230002,77.15,娱乐,校园卡,2025/11/7 13:29,二食堂
7554,20230002,11.94,学习用品,支付宝,2025/10/7 23:47,校门口
2900,20230002,50.54,交通,支付宝,2025/6/3 21:22,校门口
9057,20230002,27.65,生活服务,支付宝,2025/8/27 5:15,校门口
9675,20230002,57.59,餐饮,校园卡,2025/5/29 0:34,一食堂
8369,20230002,29.99,餐饮,校园卡,2025/9/27 11:43,打印店
1248,20230002,4.47,娱乐,支付宝,2025/10/19 10:15,打印店
691,20230002,31.22,学习用品,微信,2025/6/28 21:06,图书馆
5803,20230002,6.73,超市,校园卡,2025/10/5 1:00,图书馆
2779,20230002,35.05,超市,支付宝,2025/8/27 13:17,二食堂
5358,20230002,3.63,生活服务,校园卡,2025/9/5 20:16,二食堂
8948,20230002,28.38,超市,支付宝,2025/11/3 23:36,打印店
4932,20230002,9.72,学习用品,支付宝,2025/11/9 10:57,图书馆
3864,20230002,10.95,餐饮,校园卡,2025/9/13 21:51,图书馆
7376,20230002,10.46,交通,支付宝,2025/11/2 3:06,体育馆
2530,20230002,66.34,餐饮,微信,2025/7/10 20:39,打印店
171,20230002,70.26,超市,校园卡,2025/6/19 3:29,打印店
5055,20230002,77.16,餐饮,支付宝,2025/7/17 8:46,一食堂
1706,20230002,63.02,娱乐,支付宝,2025/9/3 19:08,校门口
298,20230002,67.57,娱乐,微信,2025/8/12 20:12,体育馆
677,20230002,34.8,餐饮,校园卡,2025/6/27 23:29,打印店
8372,20230002,59.49,超市,微信,2025/7/25 4:39,校门口
9308,20230002,37.79,学习用品,微信,2025/6/26 2:57,体育馆
7994,20230002,72.8,交通,校园卡,2025/7/28 6:53,校门口
2815,20230002,68.42,餐饮,校园卡,2025/10/12 18:49,校门口
8283,20230002,9.05,生活服务,微信,2025/9/30 16:01,校园超市
4371,20230002,52.48,交通,支付宝,2025/8/1 4:23,体育馆
6771,20230002,27.82,超市,支付宝,2025/7/10 6:08,二食堂
7834,20230002,22.61,娱乐,微信,2025/10/21 23:58,图书馆
5743,20230002,56.47,生活服务,支付宝,2025/7/8 9:54,体育馆
6465,20230002,8.36,交通,支付宝,2025/6/18 8:02,一食堂
8799,20230002,5.78,交通,支付宝,2025/9/19 5:44,一食堂
8495,20230002,33.03,娱乐,校园卡,2025/8/24 20:25,校门口
1315,20230002,71.32,超市,微信,2025/8/4 14:05,二食堂
6899,20230002,77.03,餐饮,校园卡,2025/6/23 19:25,打印店
8602,20230002,35.12,餐饮,校园卡,2025/8/2 18:32,一食堂
2971,20230002,46.45,学习用品,微信,2025/10/22 16:01,体育馆
1730,20230002,45.82,学习用品,校园卡,2025/9/20 13:43,体育馆
5179,20230002,50.62,交通,校园卡,2025/10/3 13:21,校园超市
9106,20230002,74.62,娱乐,校园卡,2025/8/28 18:08,一食堂
6117,20230002,56.38,交通,微信,2025/10/14 20:19,图书馆
7952,20230002,17.49,超市,校园卡,2025/11/9 11:57,体育馆
5909,20230002,70.72,超市,支付宝,2025/9/25 8:05,体育馆
9363,20230002,58.72,生活服务,校园卡,2025/9/9 3:15,校门口
3626,20230002,72.12,超市,校园卡,2025/11/5 12:38,一食堂
7709,20230002,47.97,交通,校园卡,2025/6/22 2:44,校门口
3455,20230002,13.05,交通,校园卡,2025/8/31 5:20,图书馆
1959,20230002,7.76,生活服务,支付宝,2025/8/2 3:40,校园超市
2135,20230002,45.79,餐饮,微信,2025/7/18 22:15,校园超市
6870,20230002,40.79,学习用品,微信,2025/7/17 14:33,校园超市
4868,20230002,74.24,超市,支付宝,2025/9/11 4:20,一食堂
9053,20230002,32.83,交通,校园卡,2025/5/22 3:35,校园超市
7609,20230002,66.01,超市,校园卡,2025/9/29 16:54,校园超市
2243,20230002,64.35,生活服务,校园卡,2025/7/30 21:48,一食堂
6442,20230002,19.82,学习用品,微信,2025/7/9 7:56,一食堂
1154,20230002,39.27,娱乐,微信,2025/11/12 2:39,校门口
9375,20230002,72.22,生活服务,校园卡,2025/9/24 3:55,图书馆
5023,20230002,68.74,超市,校园卡,2025/7/20 12:21,校园超市
1028,20230002,69.5,交通,微信,2025/6/23 11:33,打印店
4094,20230002,33.21,娱乐,支付宝,2025/6/13 2:18,校园超市
5965,20230002,75.23,学习用品,微信,2025/7/6 9:48,体育馆
730,20230002,49.91,学习用品,支付宝,2025/5/28 11:43,一食堂
2521,20230002,15.24,餐饮,微信,2025/5/31 18:40,校园超市
1426,20230002,16.56,生活服务,微信,2025/10/12 11:18,二食堂
2917,20230002,34.88,餐饮,支付宝,2025/7/2 12:54,体育馆
6886,20230002,48.43,交通,校园卡,2025/10/27 3:35,体育馆
3803,20230002,42.01,学习用品,校园卡,2025/7/8 13:30,体育馆
4083,20230002,35.34,交通,支付宝,2025/6/18 7:57,打印店
7229,20230002,52.05,交通,微信,2025/7/17 17:02,体育馆
6243,20230002,8.59,学习用品,校园卡,2025/10/22 17:16,校园超市
3211,20230002,27.76,生活服务,校园卡,2025/9/6 14:50,图书馆
1002,20230002,20.65,超市,支付宝,2025/7/1 21:14,校园超市
2017,20230002,78.94,餐饮,支付宝,2025/10/19 0:18,一食堂
2551,20230002,52.75,餐饮,校园卡,2025/6/5 19:37,校园超市
8961,20230002,26.07,学习用品,支付宝,2025/6/27 6:36,一食堂
1817,20230002,56.83,交通,校园卡,2025/8/5 5:20,校门口
475,20230002,60.51,超市,支付宝,2025/7/16 4:54,体育馆
7040,20230002,21.21,学习用品,微信,2025/7/2 11:39,体育馆
2239,20230002,25.72,娱乐,校园卡,2025/9/11 14:56,校园超市
7743,20230002,70.45,生活服务,微信,2025/6/14 16:34,一食堂
7373,20230002,75.12,学习用品,微信,2025/8/9 14:21,打印店
7753,20230002,72.57,生活服务,支付宝,2025/11/5 22:00,体育馆
9264,20230002,78.14,生活服务,微信,2025/7/13 12:58,打印店
5543,20230002,12.63,学习用品,支付宝,2025/8/9 15:07,体育馆
9263,20230002,3.87,娱乐,校园卡,2025/9/11 14:57,打印店
5437,20230002,64.66,餐饮,校园卡,2025/11/16 6:18,一食堂
1474,20230002,61.24,餐饮,校园卡,2025/10/25 4:53,校门口
7434,20230002,66.06,餐饮,微信,2025/8/1 18:36,二食堂
3475,20230002,33.99,生活服务,微信,2025/6/30 23:49,校园超市
9546,20230002,28.25,学习用品,微信,2025/10/6 11:01,校园超市
3224,20230002,43.85,学习用品,支付宝,2025/8/17 9:32,图书馆
2634,20230002,35.3,娱乐,校园卡,2025/7/16 18:56,一食堂
9472,20230002,31.43,交通,校园卡,2025/7/29 19:21,打印店
1929,20230002,78.23,交通,校园卡,2025/8/25 6:04,图书馆
5664,20230002,58.3,超市,校园卡,2025/10/26 22:20,体育馆
3320,20230002,71.08,娱乐,微信,2025/7/13 9:36,二食堂
6246,20230002,31.16,娱乐,支付宝,2025/6/13 17:42,图书馆
3355,20230002,64.23,餐饮,校园卡,2025/6/9 2:07,一食堂
3838,20230002,71.56,超市,微信,2025/10/9 20:46,一食堂
7467,20230003,26.95,餐饮,支付宝,2025/10/8 1:24,校门口
134,20230003,53.07,交通,微信,2025/9/10 18:50,校门口
9396,20230003,15.88,超市,支付宝,2025/7/8 23:42,打印店
7204,20230003,30.69,交通,微信,2025/10/18 0:07,打印店
5661,20230003,73.1,交通,微信,2025/6/25 23:53,体育馆
312,20230003,67.82,娱乐,微信,2025/6/17 19:34,二食堂
9815,20230003,69.99,娱乐,支付宝,2025/9/26 13:44,二食堂
7468,20230003,3.47,交通,支付宝,2025/8/3 8:05,二食堂
2035,20230003,74.93,学习用品,校园卡,2025/7/18 4:17,体育馆
6246,20230003,39.34,交通,支付宝,2025/7/4 16:30,一食堂
4055,20230003,79.3,交通,支付宝,2025/8/5 2:15,体育馆
306,20230003,60.76,学习用品,支付宝,2025/9/13 12:32,一食堂
6761,20230003,46.27,餐饮,支付宝,2025/7/22 23:55,一食堂
1685,20230003,33.58,娱乐,微信,2025/7/24 15:21,打印店
9009,20230003,67.28,交通,校园卡,2025/7/18 3:49,打印店
393,20230003,34.01,生活服务,微信,2025/10/6 9:36,校园超市
4767,20230003,35.01,学习用品,校园卡,2025/10/4 3:54,图书馆
8166,20230003,54.49,娱乐,支付宝,2025/7/24 9:45,打印店
4555,20230003,67.97,娱乐,校园卡,2025/6/22 12:14,校园超市
8458,20230003,40.96,娱乐,微信,2025/9/24 1:35,一食堂
2482,20230003,27.85,交通,微信,2025/10/6 21:52,二食堂
5195,20230003,78.07,交通,支付宝,2025/9/9 18:20,图书馆
2222,20230003,57.83,学习用品,支付宝,2025/9/9 23:53,一食堂
6622,20230003,67.46,学习用品,支付宝,2025/7/4 7:12,体育馆
3885,20230003,63.86,生活服务,校园卡,2025/10/9 22:23,图书馆
9405,20230003,55.35,餐饮,微信,2025/6/30 12:49,图书馆
3274,20230003,20.12,生活服务,校园卡,2025/6/10 8:08,打印店
1440,20230003,14.44,超市,微信,2025/6/2 1:48,一食堂
1202,20230003,25.35,餐饮,校园卡,2025/10/22 14:01,一食堂
9455,20230003,39.32,学习用品,校园卡,2025/8/24 13:02,校门口
3838,20230003,79.33,学习用品,支付宝,2025/7/8 19:05,打印店
9651,20230003,31.73,餐饮,支付宝,2025/10/4 9:15,图书馆
6432,20230003,39.25,学习用品,支付宝,2025/9/24 12:58,打印店
4204,20230003,36.85,餐饮,微信,2025/6/8 6:16,体育馆
8272,20230003,36.24,超市,校园卡,2025/10/15 15:35,二食堂
656,20230003,55.45,餐饮,校园卡,2025/10/9 21:51,体育馆
3610,20230003,45.43,餐饮,校园卡,2025/6/21 13:33,图书馆
3729,20230003,60.15,生活服务,支付宝,2025/8/30 6:14,二食堂
5439,20230003,42.89,超市,支付宝,2025/9/24 23:34,校园超市
7925,20230003,33.28,娱乐,微信,2025/10/29 3:41,二食堂
7132,20230003,68.05,交通,微信,2025/7/22 15:22,图书馆
9246,20230003,71.9,娱乐,校园卡,2025/6/1 22:47,打印店
8369,20230003,59.14,学习用品,支付宝,2025/6/28 1:54,一食堂
7860,20230003,75.73,生活服务,微信,2025/10/16 10:25,校门口
5164,20230003,43.74,生活服务,支付宝,2025/7/26 10:19,体育馆
1435,20230003,47.27,娱乐,校园卡,2025/8/23 11:38,体育馆
8668,20230003,13.84,餐饮,支付宝,2025/8/10 12:12,校园超市
9125,20230003,69.44,超市,微信,2025/9/22 3:12,体育馆
8816,20230003,60.98,生活服务,支付宝,2025/7/17 20:55,校门口
2789,20230003,13.6,学习用品,支付宝,2025/10/6 8:51,体育馆
7878,20230003,72.64,生活服务,校园卡,2025/6/10 19:42,校园超市
1025,20230003,69.88,餐饮,支付宝,2025/8/12 7:21,一食堂
2104,20230003,56.42,学习用品,校园卡,2025/7/30 10:07,图书馆
9823,20230003,34.99,餐饮,微信,2025/8/8 9:50,打印店
381,20230003,69.06,超市,微信,2025/6/28 8:08,打印店
4005,20230003,8.34,交通,校园卡,2025/8/21 5:08,校园超市
4274,20230003,69.39,生活服务,校园卡,2025/6/9 18:36,图书馆
9935,20230003,43.3,交通,微信,2025/7/22 5:09,图书馆
260,20230003,43.7,学习用品,微信,2025/8/6 8:15,打印店
3234,20230003,48.52,超市,微信,2025/10/24 10:51,体育馆
9199,20230003,22.78,学习用品,支付宝,2025/6/18 17:32,校园超市
